fold_key,train_window,dev_window,test_window,train_samples,dev_samples,test_samples,lookback,feature_count
train_2005_2009__dev_2010_2010__test_2011_2011,2005-01-01:2009-12-31,2010-01-01:2010-12-31,2011-01-01:2011-12-31,16725,6195,6312,40,13
train_2005_2010__dev_2011_2011__test_2012_2012,2005-01-01:2010-12-31,2011-01-01:2011-12-31,2012-01-01:2012-12-31,24168,6312,6182,40,13
train_2005_2011__dev_2012_2012__test_2013_2013,2005-01-01:2011-12-31,2012-01-01:2012-12-31,2013-01-01:2013-12-31,31650,6182,6181,40,13
train_2005_2012__dev_2013_2013__test_2014_2014,2005-01-01:2012-12-31,2013-01-01:2013-12-31,2014-01-01:2014-12-31,39080,6181,6351,40,13
train_2005_2013__dev_2014_2014__test_2015_2015,2005-01-01:2013-12-31,2014-01-01:2014-12-31,2015-01-01:2015-12-31,46548,6351,6153,40,13
train_2005_2014__dev_2015_2015__test_2016_2016,2005-01-01:2014-12-31,2015-01-01:2015-12-31,2016-01-01:2016-12-31,54108,6153,6312,40,13
train_2005_2015__dev_2016_2016__test_2017_2017,2005-01-01:2015-12-31,2016-01-01:2016-12-31,2017-01-01:2017-12-31,61509,6312,6204,40,13
train_2005_2016__dev_2017_2017__test_2018_2018,2005-01-01:2016-12-31,2017-01-01:2017-12-31,2018-01-01:2018-12-31,69062,6204,6243,40,13
train_2005_2017__dev_2018_2018__test_2019_2019,2005-01-01:2017-12-31,2018-01-01:2018-12-31,2019-01-01:2019-12-31,76553,6243,6234,40,13
train_2005_2018__dev_2019_2019__test_2020_2020,2005-01-01:2018-12-31,2019-01-01:2019-12-31,2020-01-01:2020-12-31,84044,6234,6225,40,13
train_2005_2019__dev_2020_2020__test_2021_2021,2005-01-01:2019-12-31,2020-01-01:2020-12-31,2021-01-01:2021-12-31,91526,6225,6273,40,13
train_2005_2020__dev_2021_2021__test_2022_2022,2005-01-01:2020-12-31,2021-01-01:2021-12-31,2022-01-01:2022-12-31,99038,6273,6282,40,13
train_2005_2021__dev_2022_2022__test_2023_2023,2005-01-01:2021-12-31,2022-01-01:2022-12-31,2023-01-01:2023-12-31,106481,6282,6252,40,13
train_2005_2022__dev_2023_2023__test_2024_2024,2005-01-01:2022-12-31,2023-01-01:2023-12-31,2024-01-01:2024-12-31,113972,6252,5103,40,13
train_2005_2023__dev_2024_2024,2005-01-01:2023-12-31,2024-01-01:2024-12-31,none,121394,5103,0,40,13
