prediction_year,train_period,predict_period,train_samples,predict_samples,status
2010,2006-2009,2010,15758,7265,trained
2011,2006-2010,2011,23023,7442,trained
2012,2006-2011,2012,30465,7293,trained
2013,2006-2012,2013,37758,7231,trained
2014,2006-2013,2014,44989,7501,trained
2015,2006-2014,2015,52490,7284,trained
2016,2006-2015,2016,59774,7394,trained
2017,2006-2016,2017,67168,7294,trained
2018,2006-2017,2018,74462,7353,trained
2019,2006-2018,2019,81815,7324,trained
2020,2006-2019,2020,89139,7295,trained
2021,2006-2020,2021,96434,7383,trained
2022,2006-2021,2022,103817,7412,trained
2023,2006-2022,2023,111229,7382,trained
2024,2006-2023,2024,118611,6213,trained
