date,ticker,option_price,stock_price,delta,delta_raw,signal_side,option_qty,num_contracts,stock_position,dte,days_held,bars_held,daily_pnl,cumulative_pnl,option_pnl,stock_pnl
2010-01-19,IBM,2.6399999999999997,134.14,-0.457742,0.457742,-1,-8,8,366.1936,32,1,1,0.0,0.0,-0.0,0.0
2010-01-20,IBM,2.645,130.25,-0.51723,0.51723,-1,-8,8,413.784,31,2,2,-1431.5924287999953,-1431.5924287999953,-4.00000000000027,-1424.4931039999951
2010-04-16,GE,0.595,18.97,-0.509442,0.509442,-1,-51,51,2598.1542,36,1,1,0.0,0.0,-0.0,0.0
2010-04-19,GE,0.505,18.94,-0.494961,0.494961,-1,-51,51,2524.3011,33,2,2,380.35598514300614,380.35598514300614,458.99999999999983,-77.94462599999372
2011-07-29,CVX,2.95,104.02,0.450684,0.450684,1,10,10,-450.68399999999997,50,1,1,0.0,0.0,0.0,-0.0
2011-08-01,CVX,3.325,105.38,0.510749,0.510749,1,10,10,-510.749,47,2,2,-241.0950648499997,-241.0950648499997,375.0,-612.9302399999997
2011-08-02,CVX,2.435,103.45,0.414564,0.414564,1,10,10,-414.56399999999996,46,3,3,90.77040087499617,-150.32466397500352,-890.0000000000001,985.7455699999963
2011-08-03,CVX,2.11,102.76,0.380301,0.380301,1,10,10,-380.301,45,4,4,-40.71127294000111,-191.03593691500464,-325.0000000000001,286.049159999999
2011-08-04,CVX,3.575,96.84,0.47022,0.47022,1,10,10,-470.22,44,5,5,3712.0280420200006,3520.992105104996,1465.0000000000002,2251.3819200000007
2011-08-05,CVX,4.05,97.61,0.499989,0.499989,1,10,10,-499.98900000000003,43,6,6,111.47772395500151,3632.4698290599977,474.99999999999966,-362.06939999999815
2011-08-08,CVX,5.025,90.25,0.511751,0.511751,1,10,10,-511.751,40,7,7,4654.388279750001,8286.858108809998,975.0000000000006,3679.9190399999998
2011-08-09,CVX,4.575,93.4,0.525355,0.525355,1,10,10,-525.355,39,8,8,-2062.650956800003,6224.207152009995,-450.0000000000001,-1612.0156500000028
2011-08-10,CVX,4.6,90.57,0.506136,0.506136,1,10,10,-506.136,38,9,9,1510.8843175850063,7735.091469595001,24.999999999999467,1486.7546500000067
