K,hold_days,dte_min,dte_max,filter,total_return_pct,sharpe,max_drawdown_pct,hit_rate_pct,entries,exits,avg_days_held
2,15,20,40,none,3.171098229637015,-1.3547505691437005,-6.116917351294489,19.35483870967742,130,130,15.0
2,15,25,45,none,3.171098229637015,-1.3547505691437005,-6.116917351294489,19.35483870967742,130,130,15.0
2,15,30,45,none,3.171098229637015,-1.3547505691437005,-6.116917351294489,19.35483870967742,130,130,15.0
2,15,30,60,none,3.171098229637015,-1.3547505691437005,-6.116917351294489,19.35483870967742,130,130,15.0
2,10,20,40,none,3.0222378221945068,-1.3948308558256703,-6.76636583052672,13.836310317248735,150,150,10.0
2,10,25,45,none,3.0222378221945068,-1.3948308558256703,-6.76636583052672,13.836310317248735,150,150,10.0
2,10,30,45,none,3.0222378221945068,-1.3948308558256703,-6.76636583052672,13.836310317248735,150,150,10.0
2,10,30,60,none,3.0222378221945068,-1.3948308558256703,-6.76636583052672,13.836310317248735,150,150,10.0
3,15,20,40,none,2.269456516483004,-1.3614681880980595,-6.116917351294489,19.328179152226074,132,132,15.0
3,15,25,45,none,2.269456516483004,-1.3614681880980595,-6.116917351294489,19.328179152226074,132,132,15.0
3,15,30,45,none,2.269456516483004,-1.3614681880980595,-6.116917351294489,19.328179152226074,132,132,15.0
3,15,30,60,none,2.269456516483004,-1.3614681880980595,-6.116917351294489,19.328179152226074,132,132,15.0
4,15,20,40,none,2.269456516483004,-1.3614681880980595,-6.116917351294489,19.328179152226074,132,132,15.0
4,15,25,45,none,2.269456516483004,-1.3614681880980595,-6.116917351294489,19.328179152226074,132,132,15.0
4,15,30,45,none,2.269456516483004,-1.3614681880980595,-6.116917351294489,19.328179152226074,132,132,15.0
4,15,30,60,none,2.269456516483004,-1.3614681880980595,-6.116917351294489,19.328179152226074,132,132,15.0
3,10,20,40,none,2.17925500378251,-1.4043417300219025,-6.827623031291968,13.809650759797387,152,152,10.0
3,10,25,45,none,2.17925500378251,-1.4043417300219025,-6.827623031291968,13.809650759797387,152,152,10.0
3,10,30,45,none,2.17925500378251,-1.4043417300219025,-6.827623031291968,13.809650759797387,152,152,10.0
3,10,30,60,none,2.17925500378251,-1.4043417300219025,-6.827623031291968,13.809650759797387,152,152,10.0
4,10,20,40,none,2.17925500378251,-1.4043417300219025,-6.827623031291968,13.809650759797387,152,152,10.0
4,10,25,45,none,2.17925500378251,-1.4043417300219025,-6.827623031291968,13.809650759797387,152,152,10.0
4,10,30,45,none,2.17925500378251,-1.4043417300219025,-6.827623031291968,13.809650759797387,152,152,10.0
4,10,30,60,none,2.17925500378251,-1.4043417300219025,-6.827623031291968,13.809650759797387,152,152,10.0
3,15,20,40,pred_top_half,1.784771059357504,-1.4011551889348297,-6.116917351294489,19.00826446280992,119,119,15.0
3,15,25,45,pred_top_half,1.784771059357504,-1.4011551889348297,-6.116917351294489,19.00826446280992,119,119,15.0
3,15,30,45,pred_top_half,1.784771059357504,-1.4011551889348297,-6.116917351294489,19.00826446280992,119,119,15.0
3,15,30,60,pred_top_half,1.784771059357504,-1.4011551889348297,-6.116917351294489,19.00826446280992,119,119,15.0
4,15,20,40,pred_top_half,1.784771059357504,-1.4011551889348297,-6.116917351294489,19.00826446280992,119,119,15.0
4,15,25,45,pred_top_half,1.784771059357504,-1.4011551889348297,-6.116917351294489,19.00826446280992,119,119,15.0
